,Rank,Title,Score,Your Score,0,genres,studio,voice actors,media type,year
550,551,Houseki no Kuni,8.47,,https://myanimelist.net/anime/35557/Houseki_no_Kuni,"['Fantasy', 'Mystery']",Madhouse,"['Toyosaki, Aki', 'Namikawa, Daisuke', 'Uchiyama, Kouki', 'Kitamura, Eri', 'Komatsu, Mikako', 'Noto, Mamiko', 'Kakihara, Tetsuya', 'Fujiwara, Keiji', 'Kakuma, Ai', 'Kimura, Ryouhei']",TV,2013
551,552,World Trigger,7.67,,https://myanimelist.net/anime/24405/World_Trigger,"['Drama', 'Psychological', 'Seinen', 'Sports']",Tatsunoko Production,"['Katayama, Fukujuurou', 'Uchiyama, Kouki', 'Bun, Yousei', 'Sakuya, Shunsuke', 'Kimura, Subaru', 'Tsuda, Kenjirou', 'Yara, Yuusaku', 'Ha, Tei', 'Nozawa, Masako', 'Hoshino, Takanori']",TV,2014
552,553,Sidonia no Kishi,7.78,,https://myanimelist.net/anime/19775/Sidonia_no_Kishi,"['Harem', 'School', 'Shoujo', 'Vampire']",Zexcs,"['Midorikawa, Hikaru', 'Toriumi, Kousuke', 'Mizuhashi, Kaori', 'Hirakawa, Daisuke', 'Kondou, Takashi', 'Konishi, Katsuyuki', 'Suegara, Rie', 'Tomonaga, Akane', 'Konno, Jun', 'Hirata, Mana']",TV,2013
553,554,Ping Pong the Animation,8.64,,https://myanimelist.net/anime/22135/Ping_Pong_the_Animation,"['Comedy', 'Parody', 'Shounen', 'Supernatural']",Sunrise,"['Uchiyama, Yumi', 'Hanazawa, Kana', 'Tomatsu, Haruka', 'Shimono, Hiro', 'Kawahara, Yoshihisa', 'Uchiyama, Kouki', 'Kanda, Sayaka', 'Inoue, Kikuko']",TV,2012
554,555,Satsuriku no Tenshi,6.92,,https://myanimelist.net/anime/35994/Satsuriku_no_Tenshi,"['Mystery', 'Comedy', 'Horror', 'Psychological', 'Drama']",Diomedea,"['Yashiro, Taku', 'Aisaka, Yuuka', 'Sakai, Koudai', 'Sakura, Kaoru', 'Igarashi, Hiromi', 'Kakuma, Ai', 'Miyoshi, Kousuke', 'Tada, Konomi', 'Majima, Junji', 'Shimizu, Ayaka']",TV,2016
555,556,K-On! Movie,8.34,,https://myanimelist.net/anime/9617/K-On_Movie,"['Action', 'Military', 'Sci-Fi', 'Mystery', 'Police', 'Mecha', 'Seinen']",Production I.G,"['Tanaka, Atsuko', 'Ootsuka, Akio', 'Yamadera, Kouichi', 'Saka, Osamu', 'Tamagawa, Sakiko', 'Ookawa, Tooru', 'Koyama, Rikiya', 'Nakano, Yutaka', 'Nishida, Ken', 'Onozuka, Takashi']",TV,2004
556,557,Haibane Renmei,8.02,,https://myanimelist.net/anime/387/Haibane_Renmei,['Action'],Graphinica,"['Okamoto, Nobuhiko', 'Horie, Shun', 'Igarashi, Hiromi', 'Umehara, Yuuichirou', 'Hayami, Saori', 'Sakura, Ayane', 'Hikasa, Yoko', 'Eguchi, Takuya', 'Toriumi, Kousuke', 'Nishimura, Tomohiro']",TV,2017
557,558,Omamori Himari,7.09,,https://myanimelist.net/anime/6324/Omamori_Himari,"['Action', 'Sports', 'Military', 'School']",Actas,"['Nakagami, Ikumi', 'Iguchi, Yuka', 'Fuchigami, Mai', 'Ozaki, Mami', 'Kayano, Ai', 'Kanemoto, Hisako', 'Yoshioka, Maya', 'Kitamura, Eri', 'Moriya, Satomi', 'Tanaka, Rie']",TV,2012
558,559,Kizumonogatari II: Nekketsu-hen,8.68,,https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen,"['Action', 'Supernatural', 'Vampire']",Shaft,"['Yuuki, Aoi', 'Nakamura, Yuuichi', 'Saito, Chiwa', 'Kobayashi, Yuu', 'Kaida, Yuuko', 'Kuroda, Takaya', 'Itou, Shizuka', 'Tanii, Asuka', 'Nagasawa, Nao', 'Kugimiya, Rie']",TV,2010
559,560,Karakai Jouzu no Takagi-san,7.91,,https://myanimelist.net/anime/35860/Karakai_Jouzu_no_Takagi-san,"['Adventure', 'Romance', 'Fantasy', 'Shoujo']",Studio Pierrot,"['Maeda, Rena', 'Kudou, Haruka', 'Sugita, Tomokazu', 'Sakurai, Takahiro', 'Yokoyama, Chisa', 'Ise, Mariya', 'Otsuka, Mizue', 'Tomita, Kousei', 'Nomura, Kenji', 'Futamata, Issei']",TV,2014
560,561,Juuni Taisen,6.67,,https://myanimelist.net/anime/35076/Juuni_Taisen,"['Adventure', 'Comedy', 'Historical', 'Supernatural', 'Drama', 'Shounen']",Studio Pierrot,"['Takeuchi, Junko', 'Inoue, Kazuhiko', 'Sugiyama, Noriaki', 'Nakamura, Chie', 'Kaida, Yuuko', 'Isobe, Tsutomu', 'Karasawa, Jun', 'Suzuoki, Hirotaka']",Movie,2004
561,562,Hayate no Gotoku!,7.68,,https://myanimelist.net/anime/2026/Hayate_no_Gotoku,"['Action', 'Mystery', 'Comedy', 'Super Power', 'Supernatural', 'Martial Arts', 'Seinen']",J.C.Staff,"['Komatsu, Mikako', 'Furukawa, Makoto', 'Izawa, Shiori', 'Kito, Akari', 'Morikawa, Toshiyuki', 'Nabatame, Hitomi', 'Anzai, Chika', 'Hiyama, Nobuyuki', 'Kitamura, Eri', 'Yanagita, Junichi']",TV,2016
