,Rank,Title,Score,Your Score,0,genres,studio,voice actors,media type,year
679,680,Gintama': Enchousen,9.05,,https://myanimelist.net/anime/15417/Gintama__Enchousen,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'School']",Silver Link.,"['Kuwahara, Yuuki', 'Morinaga, Chitose', 'Serizawa, Yuu', 'Tachibana, Rika', 'Tamaru, Atsushi', 'Oonishi, Saori', 'Hara, Yumi', 'Fujimura, Ayumi', 'Tsunematsu, Ayumi', 'Honda, Takako']",TV,2015
680,681,Robotics;Notes,7.40,,https://myanimelist.net/anime/13599/Robotics_Notes,"['Slice of Life', 'Comedy']",C-Station,"['Touyama, Nao', 'Hanamori, Yumiri', 'Toyosaki, Aki', 'Hara, Sayuri', 'Takahashi, Rie', 'Inoue, Marina', 'Itou, Shizuka', 'Matsuda, Risae', 'Kashii, Shouto', 'Ootsuka, Akio']",TV,2018
681,682,Texhnolyze,7.78,,https://myanimelist.net/anime/26/Texhnolyze,"['Comedy', 'Romance', 'School', 'Seinen']",feel.,"['Ozawa, Ari', 'Kobayashi, Yuusuke', 'Uesaka, Sumire', 'Tone, Kentarou', 'Touyama, Nao', 'Tanaka, Aimi', 'Tokui, Sora', 'Mizuki, Nana', 'Ichimichi, Mao', 'Takumi, Yasuaki']",TV,2016
682,683,Working!!!,8.13,,https://myanimelist.net/anime/25879/Working,"['Comedy', 'Drama']",Madhouse,"['Umegaki, Yoshiaki', 'Okamoto, Aya', 'Emori, Toru', 'Shibata, Rie', 'Yamadera, Kouichi', 'Saikachi, Ryuuji', 'Katou, Seizou', 'Iizuka, Shouzou', 'Ishimaru, Hiroya', 'Koyama, Rikiya']",Movie,2003
683,684,"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Getsâ¥Sareta Ken",7.02,,https://myanimelist.net/anime/25099/Ore_ga_Ojousama_Gakkou_ni_Shomin_Sample_Toshite_Gets♥Sareta_Ken,"['Comedy', 'Drama', 'Romance', 'School', 'Shounen', 'Sports']",Production I.G,"['Akasaki, Chinatsu', 'Tsuchiya, Shinba', 'Okamoto, Nobuhiko', 'Sakura, Ayane', 'Morohoshi, Sumire', 'Morikawa, Toshiyuki', 'Kaida, Yuuko', 'Kotobuki, Minako', 'Tomita, Kentarou', 'Sakurai, Takahiro']",TV,2017
684,685,Imouto sae Ireba Ii.,7.53,,https://myanimelist.net/anime/35413/Imouto_sae_Ireba_Ii,"['Comedy', 'Sports', 'Drama', 'Shounen']",TMS Entertainment,"['Yamashita, Daiki', 'Fukushima, Jun', 'Toriumi, Kousuke', 'Yusa, Kouji', 'Morikubo, Shoutarou', 'Yoshino, Hiroyuki', 'Yonaga, Tsubasa', 'Kakihara, Tetsuya', 'Kishio, Daisuke', 'Hino, Satoshi']",TV,2013
685,686,Kono Bijutsubu ni wa Mondai ga Aru!,7.39,,https://myanimelist.net/anime/31952/Kono_Bijutsubu_ni_wa_Mondai_ga_Aru,"['Action', 'Adventure', 'Demons', 'Supernatural', 'Magic', 'Fantasy']",MAPPA,"['Yoshino, Hiroyuki', 'Morohoshi, Sumire', 'Morita, Masakazu', 'Umehara, Yuuichirou', 'Inoue, Go', 'Sawashiro, Miyuki', 'Han, Megumi', 'Sakurai, Takahiro', 'Kugimiya, Rie', 'Kitamura, Eri']",TV,2017
686,687,Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,7.73,,https://myanimelist.net/anime/33028/Danganronpa_3__The_End_of_Kibougamine_Gakuen_-_Zetsubou-hen,"['Adventure', 'Horror', 'Psychological', 'Thriller']",J.C.Staff,"['Okamoto, Nobuhiko', 'Chisuga, Haruka', 'Fujiwara, Natsumi', 'Sakurai, Takahiro', 'Ise, Mariya', 'Ootsuka, Houchuu']",TV,2018
687,688,Kara no Kyoukai 4: Garan no Dou,7.98,,https://myanimelist.net/anime/4280/Kara_no_Kyoukai_4__Garan_no_Dou,"['Action', 'Martial Arts', 'Shounen', 'Supernatural']",Studio Pierrot,"['Takeuchi, Junko', 'Inoue, Kazuhiko', 'Sugiyama, Noriaki', 'Nakamura, Chie', 'Kumai, Motoko', 'Ishizuka, Unshou', 'Mizuki, Nana', 'Ootsuka, Houchuu']",Movie,2008
688,689,Shingeki no Bahamut: Virgin Soul,7.55,,https://myanimelist.net/anime/30736/Shingeki_no_Bahamut__Virgin_Soul,"['Action', 'Adventure', 'Comedy', 'Demons', 'Shounen', 'Supernatural']",MAPPA,"['Koyama, Rikiya', 'Hatanaka, Tasuku', 'Komatsu, Mikako', 'Yasuno, Kiyono', 'Hayashibara, Megumi', 'Namikawa, Daisuke', 'Nanri, Yuuka', 'Hosoya, Yoshimasa', 'Nagasawa, Nao', 'Han, Megumi']",TV,2015
689,690,Uta noâPrince-samaâª Maji Love 1000%,7.29,,https://myanimelist.net/anime/10321/Uta_no☆Prince-sama♪_Maji_Love_1000,"['Action', 'Mystery', 'Horror', 'Psychological', 'School']",Lerche,"['Ogata, Megumi', 'Hanazawa, Kana', 'Toyoguchi, Megumi', 'Takayama, Minami', 'Takayama, Minami', 'Nakahara, Mai', 'Toyoguchi, Megumi', 'Ogata, Megumi']",TV,2016
690,691,Tokyo Ghoul:re 2nd Season,6.40,,https://myanimelist.net/anime/37799/Tokyo_Ghoul_re_2nd_Season,"['Action', 'Comedy', 'Ecchi', 'School', 'Supernatural']",Silver Link.,"['Tamura, Yukari', 'Kitamura, Eri', 'Chihara, Minori', 'Kaji, Yuki', 'Ogura, Yui', 'Mako', 'Saito, Chiwa', 'Iguchi, Yuka', 'Ohara, Sayaka', 'Ikeda, Shuuichi']",TV,2011
691,692,.hack//Sign,7.08,,https://myanimelist.net/anime/48/hack__Sign,"['Action', 'Adventure', 'Historical', 'Supernatural', 'Romance', 'Samurai', 'Fantasy']",Gonzo,"['Toriumi, Kousuke', 'Mizuki, Nana', 'Sawashiro, Miyuki', 'Hayami, Show', 'Miyabayashi, Yasushi', 'Yanagi, Naoki', 'Ueda, Youji', 'Watanabe, Misa', 'Hatano, Wataru', 'Kimura, Haruka']",TV,2005
692,693,"Pokemon: Mewtwo no Gyakushuu  Movie (1 eps)  Jul 1998 - Jul 1998  133,983 members",7.66,,https://myanimelist.net/anime/528/Pokemon__Mewtwo_no_Gyakushuu,"['Action', 'Fantasy', 'Supernatural', 'Comedy', 'School', 'Shounen']",Xebec,"['Yuzuki, Ryouka', 'Fukuyama, Jun', 'Madono, Mitsuaki', 'Ebara, Masashi', 'Koyama, Rikiya', 'Seki, Tomokazu', 'Kobayashi, Yuu', 'Kugimiya, Rie', 'Seki, Tomokazu', 'Nabatame, Hitomi']",TV,2006
693,694,Gunslinger Girl,7.50,,https://myanimelist.net/anime/134/Gunslinger_Girl,"['Slice of Life', 'Comedy']",White Fox,"['Minase, Inori', 'Taneda, Risa', 'Sakura, Ayane', 'Uchida, Maaya', 'Sato, Satomi', 'Kiyokawa, Motomu', 'Hayami, Saori', 'Tokui, Sora', 'Murakawa, Rie', 'Kayano, Ai']",TV,2014
694,695,Tokyo Godfathers,8.31,,https://myanimelist.net/anime/759/Tokyo_Godfathers,"['Action', 'Adventure', 'Fantasy', 'Magic']",Seven Arcs,"['Taketatsu, Ayana', 'Horie, Yui', 'Koshimizu, Ami', 'Miyano, Mamoru', 'Asumi, Kana', 'Mizuki, Nana', 'Hanazawa, Kana', 'Hikasa, Yoko', 'Kakihara, Tetsuya', 'Takahashi, Mikako']",TV,2011
695,696,"Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials  ONA (4 eps)  Feb 2011 - May 2011  133,356 members",7.55,,https://myanimelist.net/anime/10020/Ore_no_Imouto_ga_Konnani_Kawaii_Wake_ga_Nai_Specials,"['Action', 'Shounen', 'Super Power']",Asread,"['Mikami, Shiori', 'Morita, Masakazu', 'Misaki, Mari', 'Tadokoro, Azusa', 'Kuno, Misaki', 'Tachibana, Shinnosuke', 'Harada, Hitomi', 'Tsuruoka, Satoshi', 'Yamamoto, Kanehira', 'Shingaki, Tarusuke']",TV,2016
696,697,Yowamushi Pedal,8.10,,https://myanimelist.net/anime/18179/Yowamushi_Pedal,"['Action', 'Adventure', 'Comedy', 'Romance', 'Fantasy']",Bones,"['Anzai, Chika', 'Saito, Chiwa', 'Hara, Yuuko', 'Majima, Junji', 'Zougou, Saeko', 'Nomizu, Iori', 'Tange, Sakura', 'Hosoya, Yoshimasa', 'Tezuka, Hideaki', 'Murase, Ayumu']",TV,2014
697,698,Ushio to Tora (TV),7.66,,https://myanimelist.net/anime/29854/Ushio_to_Tora_TV,"['Action', 'Ecchi', 'Martial Arts', 'Comedy', 'Super Power', 'School', 'Shounen']",Madhouse,"['Hisakawa, Aya', 'Seki, Tomokazu', 'Hoshi, Soichiro', 'Chihara, Minori', 'Miki, Shinichiro', 'Yao, Kazuki', 'Ikeda, Shuuichi', 'Morikawa, Toshiyuki', 'Nanao, Haruhi', 'Kondou, Takashi']",TV,2004
698,699,Gochuumon wa Usagi Desu ka?,7.59,,https://myanimelist.net/anime/21273/Gochuumon_wa_Usagi_Desu_ka,"['Comedy', 'School', 'Seinen']",Shin-Ei Animation,"['Shimono, Hiro', 'Hanazawa, Kana', 'Susaki, Shigeyuki', 'Sato, Satomi', 'Yusa, Kouji', 'Itou, Miki', 'Shiraishi, Minoru', 'Nasu, Megumi', 'Shingaki, Tarusuke', 'Sakaguchi, Tetsuo']",TV,2014
699,700,Naruto: Shippuuden Movie 2 - Kizuna,7.40,,https://myanimelist.net/anime/4437/Naruto__Shippuuden_Movie_2_-_Kizuna,"['Harem', 'Comedy', 'Romance', 'Ecchi', 'School']",Xebec,"['Nakahara, Mai', 'Okitsu, Kazuyuki', 'Kawasumi, Ayako', 'Kugimiya, Rie', 'Koshimizu, Ami', 'Hanazawa, Kana', 'Kawada, Shinji', 'Tomatsu, Haruka', 'Ise, Mariya', 'Hidaka, Rina']",TV,2010
700,701,Shoujo Shuumatsu Ryokou,8.18,,https://myanimelist.net/anime/35838/Shoujo_Shuumatsu_Ryokou,"['Comedy', 'Romance', 'Vampire', 'School', 'Shounen']",J.C.Staff,"['Yahagi, Sayuri', 'Konishi, Katsuyuki', 'Inokuchi, Yuka', 'Suwabe, Junichi', 'Shiratori, Yuri', 'Miyata, Kouki', 'Nojima, Hirofumi', 'Matsumoto, Dai', 'Takahashi, Mikako', 'Shinohara, Emi']",TV,2005
701,702,Big Order (TV),5.55,,https://myanimelist.net/anime/31904/Big_Order_TV,"['Slice of Life', 'Comedy', 'School']",Daume,"['Inoue, Marina', 'Chihara, Minori', 'Satou, Rina', 'Ono, Daisuke', 'Morinaga, Rika', 'Mizuki, Nana', 'Kakihara, Tetsuya', 'Kitamura, Eri', 'Yoshino, Hiroyuki', 'Asanuma, Shintaro']",TV,2007
702,703,Dog Days,7.12,,https://myanimelist.net/anime/10155/Dog_Days,"['Harem', 'Mystery', 'Comedy', 'Romance', 'Ecchi', 'School']",Studio Gokumi,"['Ishihara, Kaori', 'Sakura, Ayane', 'Hidaka, Rina', 'Taketatsu, Ayana', 'Oogame, Asuka', 'Sakurai, Takahiro', 'Nakata, Jouji', 'Koshimizu, Ami', 'Ogura, Yui', 'Noto, Arisa']",TV,2012
703,704,CÂ³,6.78,,https://myanimelist.net/anime/10578/C³,"['Action', 'Demons', 'Supernatural']",Bridge,"['Koshimizu, Ami', 'Suwabe, Junichi', 'Sakurai, Takahiro', 'Uchida, Aya', 'Okamoto, Nobuhiko', 'Namikawa, Daisuke', 'Yamaguchi, Rikako', 'Asumi, Kana', 'Sawashiro, Miyuki', 'Madono, Mitsuaki']",TV,2013
704,705,Tonari no Seki-kun,7.67,,https://myanimelist.net/anime/18139/Tonari_no_Seki-kun,"['Drama', 'Romance', 'School']",AIC Build,"['Asakawa, Yuu', 'Nakamura, Eriko', 'Nakamura, Yuuichi', 'Kadowaki, Mai', 'Mizuhashi, Kaori', 'Imai, Asami', 'Ogata, Megumi', 'Ishimatsu, Chiemi', 'Gibu, Yuko', 'Itou, Kanae']",TV,2012
705,706,Hitsugi no Chaika: Avenging Battle,7.29,,https://myanimelist.net/anime/24231/Hitsugi_no_Chaika__Avenging_Battle,"['Comedy', 'Romance']",Silver Link.,"['Kanemoto, Hisako', 'Kakuma, Ai', 'Kobayashi, Yuusuke', 'Yamamoto, Nozomi', 'Hino, Satoshi', 'Numakura, Manami', 'Yonaga, Tsubasa', 'Fujita, Akane', 'Toriumi, Kousuke']",TV,2017
706,707,"Ladies versus Butlers!  TV (12 eps)  Jan 2010 - Mar 2010  130,909 members",6.79,,https://myanimelist.net/anime/7148/Ladies_versus_Butlers,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']",Shaft,"['Saito, Chiwa', 'Kamiya, Hiroshi', 'Katou, Emiri', 'Mizuhashi, Kaori', 'Sakamoto, Maaya', 'Horie, Yui', 'Hanazawa, Kana', 'Sakurai, Takahiro', 'Hayami, Saori']",TV,2017
707,708,Basilisk: Kouga Ninpou Chou,7.64,,https://myanimelist.net/anime/67/Basilisk__Kouga_Ninpou_Chou,"['Action', 'Fantasy', 'Supernatural', 'Comedy', 'Drama', 'Shounen']",J.C.Staff,"['Saiga, Mitsuki', 'Kugimiya, Rie', 'Suwabe, Junichi', 'Hino, Satoshi', 'Namikawa, Daisuke', 'Tsuda, Kenjirou', 'Fujimura, Ayumi', 'Okamoto, Nobuhiko', 'Shindou, Kei', 'Mitsuishi, Kotono']",TV,2008
708,709,"Kono Naka ni Hitori, Imouto ga Iru!",6.77,,https://myanimelist.net/anime/13367/Kono_Naka_ni_Hitori_Imouto_ga_Iru,"['Comedy', 'Romance', 'Slice of Life']",feel.,"['Igarashi, Hiromi', 'Uesaka, Sumire', 'Kitamura, Eri', 'Hatano, Wataru', 'Horie, Yui', 'Ohara, Sayaka', 'Ono, Daisuke', 'Shimada, Bin', 'Majima, Junji', 'Satou, Rina']",TV,2012
709,710,Busou Renkin,7.44,,https://myanimelist.net/anime/1536/Busou_Renkin,"['Action', 'Comedy', 'Supernatural', 'Romance', 'School']",8bit,"['Morita, Masakazu', 'Suzuki, Keiko', 'Saito, Chiwa', 'Asaki, Risa', 'Kitamura, Eri', 'Hanazawa, Kana', 'Shinomiya, Saya', 'Konishi, Katsuyuki', 'Yanagita, Junichi', 'Touchi, Hiroki']",TV,2016
710,711,Servamp,7.10,,https://myanimelist.net/anime/31229/Servamp,"['Comedy', 'Drama', 'Romance', 'School', 'Shoujo', 'Slice of Life']",Gainax,"['Enomoto, Atsuko', 'Suzuki, Chihiro', 'Shintani, Mayumi', 'Kisaichi, Atsushi', 'Ishida, Akira', 'Noda, Junko', 'Kusao, Takeshi', 'Fukui, Yukari', 'Motoya, Yukiko']",TV,1998
711,712,Masou Gakuen HxH,6.41,,https://myanimelist.net/anime/31845/Masou_Gakuen_HxH,"['Action', 'Comedy', 'Drama', 'Josei', 'Supernatural', 'Vampire']",Brain's Base,"['Kaji, Yuki', 'Terashima, Takuma', 'Kimura, Ryouhei', 'Shimazaki, Nobunaga', 'Suzuki, Tatsuhisa', 'Suzuki, Yuto', 'Shimono, Hiro', 'Kakihara, Tetsuya', 'Kamiya, Hiroshi', 'Horie, Kazuma']",TV,2016
712,713,Koi to Senkyo to Chocolate,7.23,,https://myanimelist.net/anime/12175/Koi_to_Senkyo_to_Chocolate,"['Action', 'Sci-Fi', 'Adventure']",Gonzo,"['Noda, Junko', 'Asano, Mayumi', 'Saito, Chiwa', 'Shiraki, Anna', 'Morikawa, Toshiyuki', 'Kitamura, Eri', 'Hanba, Tomoe', 'Miki, Shinichiro', 'Yamazaki, Wakana', 'Neya, Michiko']",TV,2003
713,714,Rewrite,6.81,,https://myanimelist.net/anime/31716/Rewrite,"['Drama', 'Mecha', 'Psychological', 'Sci-Fi']",Gainax,"['Miyamura, Yuko', 'Hayashibara, Megumi', 'Ogata, Megumi', 'Mitsuishi, Kotono', 'Ishida, Akira', 'Tachiki, Fumihiko', 'Yamadera, Kouichi', 'Yamaguchi, Yuriko', 'Seki, Tomokazu', 'Hayashibara, Megumi']",Movie,1997
714,715,Tenjou Tenge,7.04,,https://myanimelist.net/anime/174/Tenjou_Tenge,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']",Studio Deen,"['Konishi, Katsuyuki', 'Kondou, Takashi', 'Okamoto, Nobuhiko', 'Maeno, Tomoaki', 'Nakamura, Yuuichi', 'Tachibana, Shinnosuke', 'Horiuchi, Kenyuu', 'Kamiya, Hiroshi', 'Morikawa, Toshiyuki', 'Yusa, Kouji']",TV,2011
715,716,Mushishi Zoku Shou 2nd Season,8.81,,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season,"['Action', 'Sci-Fi', 'Harem', 'Comedy', 'Romance', 'Ecchi', 'Fantasy', 'School']",Production IMS,"['Kageyama, Akari', 'Nagatsuma, Juri', 'Akasaki, Chinatsu', 'Akabane, Kenji', 'Kinugawa, Rika', 'Kino, Hina', 'Ishigami, Shizuka', 'Satosaki, Mei', 'Ookubo, Rumi', 'Nomizu, Iori']",TV,2016
716,717,"Initial D First Stage  TV (26 eps)  Apr 1998 - Dec 1998  129,314 members",8.29,,https://myanimelist.net/anime/185/Initial_D_First_Stage,"['Slice of Life', 'Comedy', 'Parody']",Palm Studio,"['Hiyama, Nobuyuki', 'Yukino, Satsuki', 'Kawasumi, Ayako', 'Ooyama, Takanori', 'Saiga, Mitsuki', 'Seki, Tomokazu', 'Nomura, Kenji', 'Ueda, Yuji', 'Ishida, Akira', 'Endou, Junichi']",TV,2004
717,718,"Karin  TV (24 eps)  Nov 2005 - May 2006  129,284 members",7.27,,https://myanimelist.net/anime/469/Karin,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'Sci-Fi']",AIC Plus+,"['Itou, Kanae', 'Hanazawa, Kana', 'Tomatsu, Haruka', 'Tamura, Mutsumi', 'Kotobuki, Minako', 'Inoue, Kikuko', 'Toyosaki, Aki', 'Shindo, Naomi', 'Tachiki, Fumihiko', 'Chihara, Minori']",TV,2010
718,719,Kareshi Kanojo no Jijou,7.64,,https://myanimelist.net/anime/145/Kareshi_Kanojo_no_Jijou,"['Action', 'Mystery', 'Supernatural', 'Romance', 'Thriller']",ufotable,"['Sakamoto, Maaya', 'Suzumura, Kenichi', 'Hoshi, Soichiro', 'Honda, Takako', 'Nakata, Jouji', 'Fujimura, Ayumi', 'Takahashi, Kenji', 'Kaida, Yuuko', 'Touchi, Hiroki']",Movie,2009
719,720,Papa no Iukoto wo Kikinasai!,7.44,,https://myanimelist.net/anime/11179/Papa_no_Iukoto_wo_Kikinasai,"['Adventure', 'Mystery', 'Sci-Fi', 'Slice of Life']",White Fox,"['Minase, Inori', 'Kubo, Yurika', 'Hanazawa, Kana', 'Mitsuishi, Kotono', 'Kaji, Yuki', 'Ishida, Akira']",TV,2017
720,721,Minami-ke,7.76,,https://myanimelist.net/anime/2963/Minami-ke,"['Mystery', 'Supernatural', 'Drama', 'Romance']",Shaft,"['Nakajima, Yumiko', 'Toochika, Kouichi', 'Hamada, Kenji', 'Gotou, Mai', 'Yanase, Natsumi', 'Taguchi, Hiroko', 'Takagi, Motoki', 'Shimono, Hiro', 'Okada, Junko', 'Tai, Yuuki']",TV,2008
721,722,To LOVE-Ru Darkness 2nd,7.69,,https://myanimelist.net/anime/28979/To_LOVE-Ru_Darkness_2nd,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",Artland,"['Nakano, Yuto', 'Doi, Mika', 'Kobashi, Megumi', 'Furukawa, Toshio', 'Nishimura, Tomomichi', 'Nakao, Ryusei', 'Suzuki, Reiko']",TV,2014
722,723,Grand Blue,8.41,,https://myanimelist.net/anime/37105/Grand_Blue,"['Sci-Fi', 'Slice of Life']",Studio Rikka,"['Tanaka, Rie', 'Satou, Rina', 'Nojima, Kenji', 'Fukuyama, Jun', 'Ishizuka, Unshou', 'Yukana', 'Saiga, Mitsuki', 'Sawashiro, Miyuki', 'Kiyokawa, Motomu', 'Nakao, Michio']",ONA,2008
723,724,Devil Survivor 2 The Animation,7.01,,https://myanimelist.net/anime/16512/Devil_Survivor_2_The_Animation,"['Action', 'Sci-Fi', 'Horror', 'Supernatural', 'Shoujo Ai']",Xebec,"['Noto, Mamiko', 'Kugimiya, Rie', 'Ishida, Akira', 'Ohara, Sayaka', 'Hiyama, Nobuyuki', 'Tanaka, Rie', 'Tanaka, Masahiko', 'Kasahara, Rumi']",TV,2008
724,725,Sekaiichi Hatsukoi,8.04,,https://myanimelist.net/anime/9926/Sekaiichi_Hatsukoi,"['Adventure', 'Drama', 'Fantasy']",Studio Ghibli,"['Hakamada, Yoshihiko', 'Ikewaki, Chizuru', 'Watanabe, Tetsu', 'Maeda, Aki', 'Hamada, Mari', 'Tanba, Tetsurou', 'Yamada, Takayuki', 'Horikawa, Ryo', 'Satou, Hitomi', 'Okae, Kumiko']",Movie,2002
725,726,Handa-kun,7.46,,https://myanimelist.net/anime/32648/Handa-kun,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen', 'Supernatural']",Studio Pierrot,"['Takeuchi, Junko', 'Morikubo, Shoutarou', 'Nakamura, Chie', 'Katou, Yuuko', 'Ishida, Akira', 'Kase, Yasuyuki', 'Kuwashima, Houko', 'Takano, Urara', 'Kojima, Sachiko', 'Kurokawa, Tomoka']",Movie,2005
726,727,Nabari no Ou,7.39,,https://myanimelist.net/anime/3655/Nabari_no_Ou,"['Comedy', 'Shounen', 'Slice of Life']",Diomedea,"['Kanemoto, Hisako', 'Tanaka, Rie', 'Fujimura, Ayumi', 'Itou, Kanae', 'Kawasumi, Ayako', 'Ootani, Miki', 'Kanda, Akemi', 'Kikuchi, Kokoro', 'Enoki, Azusa']",TV,2010
727,728,Neon Genesis Evangelion: Death & Rebirth,7.50,,https://myanimelist.net/anime/31/Neon_Genesis_Evangelion__Death___Rebirth,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'School', 'Sci-Fi', 'Shounen']",Xebec,"['Toyosaki, Aki', 'Fukuen, Misato', 'Watanabe, Akeno', 'Iguchi, Yuka', 'Tomatsu, Haruka', 'Nazuka, Kaori', 'Hanazawa, Kana', 'Yahagi, Sayuri', 'Itou, Kanae', 'Hidaka, Rina']",TV,2015
728,729,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,8.43,,https://myanimelist.net/anime/25537/Fate_stay_night_Movie__Heavens_Feel_-_I_Presage_Flower,"['Action', 'Comedy', 'Ecchi', 'Shounen', 'Supernatural']",Bones,"['Yuuki, Aoi', 'Chisuga, Haruka', 'Hayami, Saori', 'Miyano, Mamoru', 'Uchiyama, Kouki', 'Omigawa, Chiaki', 'Kobayashi, Yumiko', 'Uchida, Yuuya', 'Nazuka, Kaori', 'Takahira, Narumi']",TV,2014
729,730,Asobi ni Iku yo!,6.79,,https://myanimelist.net/anime/6166/Asobi_ni_Iku_yo,"['Comedy', 'Romance', 'Shounen Ai']",J.C.Staff,"['Yonaga, Tsubasa', 'Eguchi, Takuya', 'Hirakawa, Daisuke', 'DAIGO', 'Okiayu, Ryotaro', 'Kimura, Ryouhei', 'Ohara, Sayaka', 'Majima, Junji', 'Tsumita, Kayoko', 'Yamamoto, Kazutomi']",TV,2014
730,731,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),8.50,,https://myanimelist.net/anime/5205/Kara_no_Kyoukai_7__Satsujin_Kousatsu_Kou,"['Slice of Life', 'Comedy', 'Shounen']",Diomedea,"['Shimazaki, Nobunaga', 'Yamashita, Daiki', 'Hosoya, Yoshimasa', 'Kakihara, Tetsuya', 'Hirose, Yuuya', 'Hondo, Kaede', 'Okitsu, Kazuyuki', 'Kugimiya, Rie', 'Saito, Kimiko']",TV,2016
731,732,Last Exile,7.89,,https://myanimelist.net/anime/97/Last_Exile,"['Comedy', 'School', 'Seinen']",TYO Animations,"['Kanou, Mari', 'Uchiyama, Yumi', 'Inoue, Marina', 'Taniyama, Kishou', 'Kurata, Masayo', 'Akabane, Kenji', 'Kanbara, Daichi', 'Saito, Chiwa', 'Saito, Chiwa', 'Saotome, Yuka']",ONA,2011
732,733,Love Stage!!,7.60,,https://myanimelist.net/anime/21105/Love_Stage,"['Action', 'Comedy', 'Ecchi', 'Harem', 'Samurai', 'School']",Arms,"['Yuuki, Aoi', 'Kugimiya, Rie', 'Kotobuki, Minako', 'Hirakawa, Daisuke', 'Toyosaki, Aki', 'Mizuhara, Kaoru', 'Kobayashi, Yuu', 'Koshimizu, Ami', 'Gotou, Saori', 'Sakurai, Takahiro']",TV,2010
733,734,Neko no Ongaeshi,7.93,,https://myanimelist.net/anime/597/Neko_no_Ongaeshi,"['Action', 'Comedy', 'Supernatural']",Brain's Base,"['Kamiya, Hiroshi', 'Ono, Daisuke', 'Sawashiro, Miyuki', 'Toyonaga, Toshiyuki', 'Hanazawa, Kana', 'Onosaka, Masaya', 'Aoki, Sayaka', 'Miyano, Mamoru', 'Fukuyama, Jun']",Special,2010
734,735,New Game!!,7.89,,https://myanimelist.net/anime/34914/New_Game,"['Comedy', 'Fantasy', 'Seinen']",AIC A.S.T.A.,"['Nakahara, Mai', 'Aoki, Sayaka', 'Mamiya, Kurumi', 'Sawashiro, Miyuki', 'Fukuyama, Jun', 'Mizuki, Nana', 'Hiyama, Nobuyuki', 'Nogawa, Sakura', 'Kanemoto, Hisako', 'Kuwatani, Natsuko']",TV,2012
735,736,Genshiken,7.71,,https://myanimelist.net/anime/240/Genshiken,"['Comedy', 'Parody', 'School', 'Shoujo Ai']",Shaft,"['Kobayashi, Yuu', 'Inoue, Marina', 'Sanada, Asami', 'Sawashiro, Miyuki', 'Sugita, Tomokazu', 'Hirano, Aya', 'Gotou, Saori', 'Matsuki, Miyu', 'Kanda, Akemi', 'Kaida, Yuuko']",TV,2009
736,737,Pokemon: The Origin,7.87,,https://myanimelist.net/anime/20159/Pokemon__The_Origin,"['Action', 'Mystery', 'Comedy', 'Historical', 'Supernatural']",Brain's Base,"['Morita, Masakazu', 'Fujiwara, Keiji', 'Sakaguchi, Daisuke', 'Sugita, Tomokazu', 'Hirohashi, Ryou', 'Kobayashi, Yuu', 'Itou, Shizuka', 'Onosaka, Masaya', 'Aoki, Sayaka', 'Yoshino, Hiroyuki']",Special,2008
737,738,Mnemosyne: Mnemosyne no Musume-tachi,7.42,,https://myanimelist.net/anime/3342/Mnemosyne__Mnemosyne_no_Musume-tachi,"['Action', 'Cars', 'Drama', 'Seinen', 'Sports']",Studio Gallop,"['Miki, Shinichiro', 'Ishizuka, Unshou', 'Koyasu, Takehito', 'Seki, Tomokazu', 'Iwata, Mitsuo', 'Hiyama, Nobuyuki', 'Yao, Kazuki', 'Neya, Michiko', 'Fujiwara, Keiji', 'Kawasumi, Ayako']",TV,1998
738,739,Plastic Neesan,7.35,,https://myanimelist.net/anime/10711/Plastic_Neesan,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",Xebec,"['Takeuchi, Junko', 'Eguchi, Takuya', 'Sugita, Tomokazu', 'Koyama, Rikiya', 'Kawashima, Tokuyoshi', 'Mori, Katsuji']",Special,2013
739,740,Hyakka Ryouran: Samurai Girls,6.93,,https://myanimelist.net/anime/8277/Hyakka_Ryouran__Samurai_Girls,"['Comedy', 'Drama', 'Mystery', 'Romance', 'Slice of Life', 'Thriller']",Production I.G,"['Kimura, Ryouhei', 'Hayami, Saori', 'Igarashi, Rei', 'Saitou, Ayaka', 'Hiyama, Nobuyuki', 'Tamagawa, Sakiko', 'Kawahara, Motoyuki', 'Eguchi, Takuya']",Movie,2009
